Player,Squad,Pos,Age,Gls,Ast,Min,MP,GS,xG,npxG,xAG,PrgC,PrgP,Yellow,Red,League,Country,Source,Source_URL
Mouctar Diakhaby,Valencia,DF,29-006,1,0,453,7,6,0.5,0.5,0.0,2,17,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Grady Diangana,Elche,"MF,FW",27-250,0,0,297,7,5,0.2,0.2,0.1,5,7,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Moussa Diarra,Alavés,DF,25-045,0,0,216,3,3,0.0,0.0,0.0,3,1,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Brahim Díaz,Real Madrid,"FW,MF",26-144,0,2,319,12,3,0.3,0.3,1.7,13,9,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Pedro Díaz,Rayo Vallecano,"MF,FW",27-203,0,0,826,14,10,0.7,0.7,0.6,10,29,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Matías Dituro,Elche,GK,38-231,0,0,540,6,6,0.0,0.0,0.0,0,0,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Djené,Getafe,"DF,MF",33-359,0,0,"1,224",17,15,0.1,0.1,0.0,5,23,4,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Marko Dmitrović,Espanyol,GK,33-335,0,0,"1,530",17,17,0.0,0.0,0.0,0,2,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Tyrhys Dolan,Espanyol,"FW,MF",23-362,0,3,"1,144",16,13,1.2,1.2,2.5,53,29,3,1,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Marc Domenech,Mallorca,"FW,MF",19-358,0,1,214,7,2,0.1,0.1,0.4,1,4,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Carlos Dominguez,Celta Vigo,DF,24-317,0,0,436,6,4,0.0,0.0,0.1,2,10,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
John Donald,Elche,"DF,MF",25-117,1,0,303,11,3,0.4,0.4,0.0,2,9,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Domingos Duarte,Getafe,DF,30-290,0,0,"1,264",15,15,0.5,0.5,0.0,1,29,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Pablo Durán,Celta Vigo,"FW,MF",24-214,2,0,646,13,8,2.2,2.2,0.1,5,14,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Hugo Duro,Valencia,FW,26-045,6,0,993,17,10,3.9,3.9,0.4,4,13,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Ovie Ejaria,Oviedo,MF,28-037,0,0,180,7,2,0.1,0.1,0.1,7,11,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Chidera Ejuke,Sevilla,"FW,MF",27-357,1,1,390,12,4,1.0,1.0,1.1,16,19,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Unai Elgezabal,Levante,"DF,MF",32-244,0,0,932,11,11,0.6,0.6,0.2,1,13,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Aritz Elustondo,Real Sociedad,DF,31-272,0,0,337,8,4,0.2,0.2,0.0,2,10,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Endrick,Real Madrid,FW,19-157,0,0,12,1,0,0.0,0.0,0.0,1,0,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Aarón Escandell,Oviedo,GK,30-089,0,0,"1,530",17,17,0.0,0.0,0.0,0,0,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Carlos Espí,Levante,FW,20-154,0,0,97,5,0,0.0,0.0,0.0,0,1,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Alfonso Espino,Rayo Vallecano,"FW,DF",33-354,1,0,348,11,3,1.0,1.0,0.5,5,9,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Marco Esteban,Oviedo,DF,19-358,0,0,45,1,0,0.0,0.0,0.0,0,0,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Karl Etta Eyong,Villarreal,FW,22-072,1,2,256,3,3,0.9,0.9,0.7,3,4,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Karl Etta Eyong,Levante,FW,22-072,5,1,959,12,12,5.4,4.7,1.5,6,10,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Edu Expósito,Espanyol,MF,29-146,0,5,"1,123",16,14,0.9,0.9,3.6,28,89,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Abde Ezzalzouli,Betis,FW,24-008,3,3,780,11,9,3.6,3.6,3.0,45,22,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Omar Falah,Oviedo,"DF,MF",22-107,0,0,14,1,0,0.0,0.0,0.0,0,0,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Aleix Febas,Elche,MF,29-326,1,0,"1,530",17,17,1.3,1.3,0.7,56,120,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Luiz Felipe,Rayo Vallecano,DF,28-278,0,0,243,6,4,0.1,0.1,0.0,2,4,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Kiko Femenía,Getafe,"DF,FW",34-326,0,1,863,13,11,0.1,0.1,0.5,13,33,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Manu Fernández,Celta Vigo,DF,24-246,0,0,632,9,8,0.0,0.0,0.0,5,27,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Pedro Fernandez,Barcelona,"FW,MF",17-347,0,0,92,4,1,0.0,0.0,0.1,0,5,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Pelayo Fernandez,Rayo Vallecano,DF,22-240,0,0,45,1,0,0.0,0.0,0.0,0,1,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Roberto Férnandez,Espanyol,FW,23-175,4,2,"1,213",17,13,4.5,3.7,3.0,10,13,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Toni Fernández,Barcelona,FW,17-163,0,0,45,1,1,0.0,0.0,0.1,0,0,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Junior Firpo,Betis,DF,29-125,0,1,460,7,5,0.4,0.4,0.6,7,23,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Álex Forés,Oviedo,FW,24-257,0,0,193,10,1,1.0,1.0,0.0,4,0,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Pablo Fornals,Betis,MF,29-306,4,4,"1,389",17,17,2.2,2.2,3.2,25,121,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Héctor Fort,Elche,DF,19-145,1,2,327,9,5,0.5,0.5,0.4,18,10,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Dimitri Foulquier,Valencia,DF,32-277,0,0,741,10,8,0.3,0.3,0.2,6,25,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Juan Foyth,Villarreal,DF,27-347,0,0,720,9,9,0.1,0.1,0.0,2,30,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Alejandro Francés,Girona,DF,23-146,0,0,408,8,5,0.1,0.1,0.6,8,16,1,1,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Jorge de Frutos,Rayo Vallecano,"FW,MF",28-308,4,1,"1,103",15,15,3.8,3.8,1.6,33,21,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Javi Galán,Atlético Madrid,DF,31-036,0,0,134,5,1,0.0,0.0,0.1,5,1,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Iñigo Ruiz de Galarreta,Athletic Club,MF,32-141,0,0,"1,033",16,15,0.3,0.3,0.9,10,91,8,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Conor Gallagher,Atlético Madrid,MF,25-322,2,0,634,18,4,0.8,0.8,0.4,19,24,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Facundo Garcés,Alavés,DF,26-111,0,0,540,6,6,0.1,0.1,0.0,0,4,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Álvaro García,Rayo Vallecano,"FW,MF",33-059,3,1,"1,154",17,13,4.8,4.8,2.7,18,22,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Eric García,Barcelona,"DF,MF",24-350,1,0,"1,378",18,16,1.8,1.8,1.3,14,109,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Fran Garcia,Real Madrid,DF,26-133,0,0,411,6,5,0.2,0.2,0.1,10,11,2,1,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Gonzalo García,Real Madrid,"FW,MF",21-276,0,0,178,13,1,1.3,1.3,0.3,0,4,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Joan García,Barcelona,GK,24-235,0,0,"1,080",12,12,0.0,0.0,0.0,0,0,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Pablo Garcia,Betis,FW,19-195,0,0,295,10,2,1.1,1.1,0.1,12,6,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Rubén García,Osasuna,"FW,MF",32-164,1,4,793,15,9,0.7,0.7,1.9,10,24,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Víctor García,Levante,"DF,MF",28-100,0,0,351,10,4,0.2,0.2,0.3,11,7,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Gavi,Barcelona,"MF,DF",21-142,0,1,67,2,0,0.0,0.0,0.2,1,11,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Paulo Gazzaniga,Girona,GK,33-357,0,0,"1,392",16,16,0.0,0.0,0.0,0,0,2,1,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Mourad El Ghezouani,Elche,FW,27-212,0,0,50,2,0,0.1,0.1,0.0,0,1,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Bryan Gil,Girona,"FW,MF",24-317,0,3,700,14,8,1.7,1.7,1.2,36,18,4,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Moi Gómez,Osasuna,MF,31-185,0,0,813,13,9,0.2,0.2,0.7,11,79,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Sergio Gómez,Real Sociedad,DF,25-112,0,0,"1,192",17,13,0.8,0.8,2.2,18,66,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Unai Gómez,Athletic Club,"FW,MF",22-214,0,0,316,11,2,0.5,0.5,0.2,4,7,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Valentín Gómez,Betis,DF,22-182,1,0,834,13,8,0.7,0.7,0.4,8,29,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Nicolás González,Atlético Madrid,"MF,DF",27-263,1,0,931,15,13,2.1,2.1,1.3,22,27,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Urko González,Espanyol,MF,24-280,0,1,892,15,9,0.2,0.2,0.1,5,32,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Urko González,Real Sociedad,MF,24-280,0,0,11,1,0,0.0,0.0,0.0,0,1,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Andoni Gorosabel,Athletic Club,DF,29-143,0,1,415,8,5,0.2,0.2,0.3,10,22,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Jon Gorrotxategi,Real Sociedad,MF,23-326,1,1,"1,313",16,15,0.6,0.6,0.5,14,60,6,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Mikel Goti,Real Sociedad,MF,23-216,0,0,76,4,1,0.3,0.3,0.0,2,6,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Antoine Griezmann,Atlético Madrid,"FW,MF",34-279,6,0,671,18,5,4.7,4.7,0.9,9,38,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Nemanja Gudelj,Sevilla,"MF,DF",34-039,1,0,888,14,9,0.5,0.5,0.1,4,22,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Gonçalo Guedes,Real Sociedad,"MF,FW",29-026,3,1,842,17,11,1.7,1.7,0.8,24,25,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Javier Guerra,Valencia,MF,22-358,0,2,946,17,12,1.1,1.1,1.5,19,54,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Daniel Guerrero,Betis,MF,20-152,0,0,1,1,0,0.0,0.0,0.0,0,0,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Ander Guevara,Alavés,MF,28-171,1,0,355,11,2,0.1,0.1,0.1,2,21,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Pape Gueye,Villarreal,MF,26-335,2,1,776,13,9,1.0,1.0,1.0,12,65,5,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Arda Güler,Real Madrid,MF,20-303,3,5,"1,138",18,15,3.6,3.6,4.6,24,91,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Gerard Gumbau,Rayo Vallecano,MF,31-007,0,1,251,11,2,0.2,0.2,0.2,6,11,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Jon Guridi,Alavés,"MF,FW",30-300,0,0,389,11,5,0.9,0.9,0.0,9,21,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Gorka Guruzeta,Athletic Club,FW,29-104,1,0,978,16,12,4.2,4.2,0.7,4,18,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Dávid Hancko,Atlético Madrid,DF,28-012,0,2,"1,442",18,16,0.6,0.6,1.8,28,99,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Haissem Hassan,Oviedo,"FW,MF",23-320,0,1,907,16,9,1.1,1.1,0.7,67,28,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Jorge Herrando,Osasuna,DF,24-300,0,0,583,13,6,0.3,0.3,0.0,1,11,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Sergio Herrera,Osasuna,GK,32-203,0,0,"1,530",17,17,0.0,0.0,0.0,0,4,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Yangel Herrera,Girona,MF,27-345,0,0,110,2,2,0.0,0.0,0.0,2,2,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Yangel Herrera,Real Sociedad,MF,27-345,0,0,88,2,2,0.3,0.3,0.0,3,2,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Omar El Hilali,Espanyol,DF,22-104,0,2,"1,255",17,14,0.0,0.0,1.3,13,58,4,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Ali Houary,Elche,MF,20-142,0,0,123,2,2,0.1,0.1,0.0,2,4,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Dean Huijsen,Real Madrid,DF,20-255,1,1,964,13,12,1.5,1.5,1.1,13,75,3,1,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Pablo Ibáñez,Alavés,MF,27-096,1,0,985,17,12,2.6,2.6,0.4,25,47,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Stanis Idumbo,Sevilla,MF,20-179,0,0,45,1,1,0.0,0.0,0.1,4,1,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Iglesias,Getafe,DF,27-175,1,0,"1,370",16,15,0.5,0.5,0.5,12,45,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Borja Iglesias,Celta Vigo,FW,32-342,5,2,923,16,10,4.0,3.2,1.3,8,22,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Luka Ilić,Oviedo,"MF,FW",26-176,1,0,543,13,6,0.4,0.4,0.1,3,15,4,1,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Isco,Betis,MF,33-248,0,1,31,1,0,0.1,0.1,0.2,2,4,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Urko Izeta,Athletic Club,"MF,FW",26-087,0,0,58,6,0,0.1,0.1,0.0,4,1,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Jairo Izquierdo,Elche,"MF,DF",32-064,0,0,24,1,0,0.0,0.0,0.0,1,0,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Adnan Januzaj,Sevilla,"FW,MF",30-323,0,0,190,8,2,0.1,0.1,0.2,11,18,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Mikel Jauregizar,Athletic Club,MF,22-042,1,0,"1,555",18,18,1.1,1.1,0.7,10,110,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
David Jiménez,Real Madrid,DF,21-286,0,0,1,1,0,0.0,0.0,0.0,0,0,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Jofre,Espanyol,"MF,FW",24-191,0,0,352,10,4,0.2,0.2,0.2,20,5,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Frenkie de Jong,Barcelona,MF,28-227,0,3,955,13,10,0.4,0.4,2.0,31,105,3,1,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Joan Jordán,Sevilla,MF,31-172,0,0,15,2,0,0.0,0.0,0.0,1,3,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Josan,Elche,"DF,MF",36-022,0,2,307,9,3,0.3,0.3,2.3,13,11,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Mateo Joseph,Mallorca,"FW,MF",22-067,2,1,"1,055",16,12,3.5,3.5,0.7,15,10,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Juanmi,Getafe,"FW,DF",32-219,0,0,93,5,0,0.1,0.1,0.1,0,1,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Luiz Lúcio Reis Júnior,Villarreal,GK,24-345,0,0,"1,170",13,13,0.0,0.0,0.0,0,0,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Vinicius Júnior,Real Madrid,"FW,MF",25-166,5,5,"1,325",18,15,6.4,4.8,3.4,116,63,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Ferran Jutglà,Celta Vigo,"FW,MF",26-327,2,1,727,14,10,2.3,2.3,0.7,16,10,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Abu Kamara,Getafe,"MF,FW",22-157,0,0,196,9,1,0.4,0.4,0.1,9,4,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Jon Karrikaburu,Real Sociedad,"FW,MF",23-097,0,0,132,6,0,0.9,0.9,0.0,1,0,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Kiké,Espanyol,FW,36-030,3,0,649,16,6,3.7,3.0,0.8,8,14,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Koke,Atlético Madrid,MF,33-351,2,2,"1,181",17,13,0.3,0.3,1.3,3,82,4,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Luca Koleosho,Espanyol,"MF,FW",21-101,0,0,63,3,0,0.0,0.0,0.0,3,2,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Jules Koundé,Barcelona,DF,27-043,1,1,"1,241",17,13,0.5,0.5,1.1,21,67,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Lancinet Kourouma,Girona,MF,21-270,0,0,33,4,0,0.0,0.0,0.0,0,0,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Goduine Koyalipou,Levante,FW,25-313,1,0,247,11,2,1.0,1.0,0.3,2,3,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Vladyslav Krapyvtsov,Girona,GK,20-183,0,0,136,2,1,0.0,0.0,0.0,0,0,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Ladislav Krejčí,Girona,DF,26-249,0,0,180,2,2,0.1,0.1,0.0,0,6,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Takefusa Kubo,Real Sociedad,"MF,FW",24-204,2,1,933,15,10,2.0,2.0,1.6,51,33,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Marash Kumbulla,Mallorca,DF,25-320,0,0,240,5,3,0.0,0.0,0.0,3,7,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Adrián de la Fuente,Levante,DF,26-302,1,0,952,13,10,1.2,0.4,0.1,5,23,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Yoel Lago,Celta Vigo,DF,21-275,0,0,333,4,4,0.0,0.0,0.0,0,9,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Aymeric Laporte,Athletic Club,DF,31-212,0,1,859,11,10,0.2,0.2,0.2,8,42,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Toni Lato,Mallorca,DF,28-034,0,0,159,4,2,0.0,0.0,0.0,2,4,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Robin Le Normand,Atlético Madrid,DF,29-044,1,0,945,12,10,0.4,0.4,0.0,3,33,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Florian Lejeune,Rayo Vallecano,DF,34-219,0,0,"1,520",17,17,0.9,0.9,0.4,6,52,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Youssef Lekhedim,Alavés,DF,20-079,0,0,669,12,7,0.3,0.3,0.3,10,18,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Iñigo Lekue,Athletic Club,DF,32-235,0,0,354,6,5,0.1,0.1,0.0,9,10,1,1,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Thomas Lemar,Girona,"MF,FW",30-043,0,1,270,8,1,0.3,0.3,0.6,7,22,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Clément Lenglet,Atlético Madrid,DF,30-191,0,0,730,9,9,0.1,0.1,0.2,7,42,3,1,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Robert Lewandowski,Barcelona,FW,37-126,8,1,671,13,7,7.6,5.2,0.9,6,8,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Adrián Liso,Getafe,"FW,MF",20-267,3,0,"1,109",14,14,1.4,1.4,0.1,11,13,1,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Javier Llabrés,Mallorca,"FW,MF",23-105,0,0,126,7,1,0.1,0.1,0.1,1,2,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Diego Llorente,Betis,DF,32-131,1,0,82,3,2,0.7,0.7,0.0,0,1,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Marcos Llorente,Atlético Madrid,DF,30-329,0,3,"1,170",14,14,1.2,1.2,1.6,41,62,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Giovani Lo Celso,Betis,MF,29-260,1,2,881,14,9,1.7,1.7,1.8,14,75,3,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
David López,Mallorca,DF,22-325,0,0,61,1,1,0.0,0.0,0.0,0,1,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
David López,Girona,DF,36-077,0,0,202,3,2,0.6,0.6,0.0,4,13,0,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
Diego López,Valencia,"FW,MF",23-226,3,0,"1,131",17,14,2.1,2.1,0.9,28,31,2,0,La Liga,Spain,cloudscraper,https://fbref.com/en/comps/12/stats/La-Liga-Stats
