Player,Squad,Pos,Age,Gls,Ast,Min,MP,Sh,SoT,xG,xAG,Cmp,League,Country,Source,Source_URL,position,age,weekly_gross,annual_gross,currency
Sander Berge,Fulham,MF,27-305,0,0,"1,393",16,,,0.6,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,DM,27,55000.0,2860000.0,£
Lucas Bergvall,Tottenham,MF,19-317,1,2,597,12,,,0.8,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CM,19,60000.0,3120000.0,£
Beto,Everton,FW,27-319,1,0,686,16,,,4.3,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CF,27,60000.0,3120000.0,£
Jaka Bijol,Leeds United,DF,26-314,1,0,532,7,,,0.2,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,26,45000.0,2340000.0,£
Marco Bizot,Aston Villa,GK,34-281,0,0,360,4,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,GK,34,45000.0,2340000.0,£
Oscar Bobb,Manchester City,"MF,FW",22-157,0,1,468,9,,,0.4,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RW,22,50000.0,2600000.0,£
Lamare Bogarde,Aston Villa,MF,21-345,0,0,322,11,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,21,30000.0,1560000.0,£
Jayden Bogle,Leeds United,DF,25-142,0,1,"1,403",16,,,0.7,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RB,25,30000.0,1560000.0,£
Sebastiaan Bornauw,Leeds United,DF,26-269,0,0,2,2,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,26,45000.0,2340000.0,£
Olivier Boscagli,Brighton,DF,28-028,0,0,53,2,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,27,60000.0,3120000.0,£
Sven Botman,Newcastle Utd,DF,25-338,0,0,656,10,,,0.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,25,90000.0,4680000.0,£
Jarrod Bowen,West Ham,"FW,MF",28-361,5,1,"1,440",16,,,3.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RW,28,150000.0,7800000.0,£
Conor Bradley,Liverpool,DF,22-160,0,0,597,10,,,0.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RB,22,75000.0,3900000.0,£
Brian Brobbey,Sunderland,FW,23-318,2,1,332,11,,,0.4,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CF,23,60000.0,3120000.0,£
Armando Broja,Burnley,FW,24-097,0,0,294,10,,,1.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CF,23,45000.0,2340000.0,£
David Brooks,Bournemouth,"FW,MF",28-161,0,1,649,14,,,1.7,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,RW,28,50000.0,2600000.0,£
Jacob Bruun Larsen,Burnley,"FW,MF",27-088,0,1,653,14,,,0.6,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,LW,26,45000.0,2340000.0,£
Emi Buendía,Aston Villa,"MF,FW",28-356,4,2,551,14,,,1.5,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,,,,,
Hugo Bueno,Wolves,"DF,MF",23-089,0,0,832,14,,,0.2,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,LB,22,25000.0,1300000.0,£
Santiago Bueno,Wolves,DF,27-037,1,0,665,8,,,0.8,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,26,40000.0,2080000.0,£
Facundo Buonanotte,Chelsea,MF,20-358,0,0,45,1,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,AM,20,25000.0,1300000.0,£
Dan Burn,Newcastle Utd,DF,33-221,0,2,"1,255",15,,,0.1,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,CB,33,70000.0,3640000.0,£
Bradley Burrowes,Aston Villa,DF,17-287,0,0,17,1,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,,,,,
Sam Byram,Leeds United,DF,32-091,0,0,8,1,,,0.0,,,Premier League,England,cloudscraper,https://fbref.com/en/comps/9/stats/Premier-League-Stats,LB,31,25000.0,1300000.0,£
